video_code,title,description,primary_trigger_code,primary_therapy_area,is_published,video_search_keywords
VID_AD_ALLERGY_ACUTE_URTICARIA_01,Sudden hives & allergy: home care,"Explains hives, common triggers, use of antihistamine and when child can stay at home.",AD_ALLERGY_ACUTE_URTICARIA,Skin & allergy,False,hives|urticaria|allergy rash|itchy red bumps|antihistamine syrup|food or medicine allergy
VID_AD_ALLERGY_ACUTE_URTICARIA_02,Acute allergy: breathing or facial swelling – emergency signs,"Shows parents which symptoms like breathing difficulty, voice change or swelling of lips/tongue need immediate ER visit.",AD_ALLERGY_ACUTE_URTICARIA,Skin & allergy,False,acute allergy emergency|anaphylaxis signs|lip swelling|breathing trouble|voice change|rush to hospital
VID_AD_ASTHMA_ACUTE_WHEEZE_01,Acute wheezing episode: using nebuliser or inhaler,Demonstrates correct nebuliser / inhaler + spacer use during an attack and how often to repeat as advised.,AD_ASTHMA_ACUTE_WHEEZE,Breathing & chest problems,False,wheeze attack|nebuliser use|inhaler spacer|reliever dose|acute asthma treatment
VID_AD_ASTHMA_ACUTE_WHEEZE_02,After an asthma attack: preventing the next one,"Covers triggers, follow-up with doctor, need for controller medicines and when to seek emergency help next time.",AD_ASTHMA_ACUTE_WHEEZE,Breathing & chest problems,False,asthma follow up|trigger control|controller medicine|emergency plan|next attack prevention
VID_AD_BRONCHIOLITIS_INFANT_01,Bronchiolitis in babies: what parents need to know,"Explains bronchiolitis, noisy breathing, feeding difficulty and typical course of illness.",AD_BRONCHIOLITIS_INFANT,Breathing & chest problems,False,bronchiolitis|RSV baby|cold and fast breathing|wheezy baby|course of illness
VID_AD_BRONCHIOLITIS_INFANT_02,Bronchiolitis: home care and danger signs,"Shows positioning, saline drops, feeding tips and when breathing or feeding problems need urgent care.",AD_BRONCHIOLITIS_INFANT,Breathing & chest problems,False,bronchiolitis home care|saline drops|breastfeeding|fast breathing signs|when to admit
VID_AD_CROUP_01,Croup: barking cough & noisy breathing explained,"Explains what croup is, how it differs from simple cold and what treatment was given.",AD_CROUP,Breathing & chest problems,False,croup|barking cough|stridor|noisy breathing child|steroid dose
VID_AD_CROUP_02,Croup: night-time care and emergency warning signs,"Shows how to keep child calm, when to sit them upright and danger signs that need ER visit.",AD_CROUP,Breathing & chest problems,False,croup night care|keep child calm|cool air|emergency signs|blue lips|stridor at rest
VID_AD_DENGUE_CONFIRMED_01,"Dengue fever: fluids, platelet myths and home care","Explains dengue, importance of fluids, what platelet counts really mean and common myths about papaya leaf etc.",AD_DENGUE_CONFIRMED,Fever & common infections,False,dengue|platelet count|papaya leaf myth|fluids|ORS|rest at home
VID_AD_DENGUE_CONFIRMED_02,Dengue warning signs: when to go to emergency,"Shows parents danger signs like severe stomach pain, vomiting, bleeding, breathing trouble and when to reach hospital quickly.",AD_DENGUE_CONFIRMED,Fever & common infections,False,dengue warning signs|bleeding|persistent vomiting|severe pain|drowsy child|emergency
VID_AD_DIARRHEA_ACUTE_WATERY_01,Loose motions: ORS and zinc instead of antibiotics,"Explains viral diarrhea, correct ORS use, zinc and why antibiotics are usually not needed.",AD_DIARRHEA_ACUTE_WATERY,Stomach & digestion,False,watery diarrhea|loose motions|ORS|zinc|no antibiotic|viral stomach infection
VID_AD_DIARRHEA_ACUTE_WATERY_02,What to feed during diarrhea and how to prevent dehydration,"Shows practical diet examples, breastfeeding, continued feeds and early dehydration signs to watch for.",AD_DIARRHEA_ACUTE_WATERY,Stomach & digestion,False,diarrhea diet|khichdi|curd rice|continue breastfeeding|dehydration signs|thirst
VID_AD_DIARRHEA_BLOODY_01,Blood in stools: serious diarrhea needing antibiotics,"Explains dysentery, why blood in stools is serious and role of antibiotics plus ORS.",AD_DIARRHEA_BLOODY,Stomach & digestion,False,bloody stool|dysentery|blood and mucus|antibiotic for dysentery|stomach cramps
VID_AD_DIARRHEA_BLOODY_02,Bloody diarrhea: danger signs and when to admit,"Describes high-risk signs like persistent blood, severe pain and poor drinking that need hospital admission.",AD_DIARRHEA_BLOODY,Stomach & digestion,False,bloody diarrhea danger|severe abdominal pain|persistent blood|unable to drink|hospital admission
VID_AD_EAR_ACUTE_OM_01,First ear infection: pain relief and ear care,"Explains what an ear infection is, safe pain relief, correct position and ear care at home.",AD_EAR_ACUTE_OM,Breathing & chest problems,False,ear infection|ear pain|kan dard|pain relief|paracetamol|warm compress|ear care
VID_AD_EAR_ACUTE_OM_02,Ear infection antibiotics and follow-up,"Talks about antibiotic course, when ear drops are used, follow-up visit and when to worry about hearing.",AD_EAR_ACUTE_OM,Breathing & chest problems,False,ear infection antibiotic|ear drops|follow-up|hearing loss|perforated eardrum
VID_AD_FEVER_BACTERIAL_THROAT_AB_01,Sore throat / tonsillitis: what it is and how the antibiotic works,"Describes bacterial throat infection, why antibiotics are needed and what improvement to expect.",AD_FEVER_BACTERIAL_THROAT_AB,Fever & common infections,False,throat infection|tonsillitis|bacterial throat|antibiotic needed|throat pain|swollen tonsils
VID_AD_FEVER_BACTERIAL_THROAT_AB_02,"Tonsillitis antibiotic course: dose, duration and side effects","Covers full antibiotic course, common side effects, what to do if a dose is missed and why not to stop early.",AD_FEVER_BACTERIAL_THROAT_AB,Fever & common infections,False,antibiotic course|10 day treatment|missed dose|stomach upset|allergy signs|stop medicine early risk
VID_AD_FEVER_VIRAL_NO_AB_01,Viral fever & cold: why antibiotics are not needed,Explains difference between viral and bacterial infections and why simple cold and viral fever get better without antibiotics.,AD_FEVER_VIRAL_NO_AB,Fever & common infections,False,viral fever|common cold|sardi bukhar|no antibiotic|self limiting illness|immune system|antibiotic resistance
VID_AD_FEVER_VIRAL_NO_AB_02,Caring for a child with fever at home,"Shows parents how to measure temperature, give paracetamol correctly, keep the child comfortable and when to repeat the dose.",AD_FEVER_VIRAL_NO_AB,Fever & common infections,False,home care fever|paracetamol dose|temperature measurement|cold sponging|fluids for fever|when to repeat medicine
VID_AD_HEAD_INJURY_MILD_01,Mild head injury: what checks were done in hospital,"Explains what the doctor checked (consciousness, pupils, exam) and why CT scan was or was not needed.",AD_HEAD_INJURY_MILD,Safety & first aid,False,minor head injury|fell from bed|doctor check|no CT|observation advice
VID_AD_HEAD_INJURY_MILD_02,Head injury at home: observation and red-flag symptoms,"Guides parents on waking child, monitoring behaviour, vomiting and when to return urgently.",AD_HEAD_INJURY_MILD,Safety & first aid,False,head injury observation|vomiting|sleepiness|behaviour change|fits after fall|emergency signs
VID_AD_LUNG_PNEUMONIA_HOME_01,Pneumonia at home: oral antibiotics and breathing care,"Explains pneumonia diagnosis, oral antibiotic plan and simple breathing care like positioning and avoiding smoke.",AD_LUNG_PNEUMONIA_HOME,Breathing & chest problems,False,pneumonia|chest infection|oral antibiotic|home care|positioning|avoid smoke
VID_AD_LUNG_PNEUMONIA_HOME_02,Pneumonia: breathing warning signs and when to rush,"Lists red-flag breathing signs, poor feeding and lethargy that need urgent hospital visit or admission.",AD_LUNG_PNEUMONIA_HOME,Breathing & chest problems,False,pneumonia danger signs|fast breathing|chest pulling|blue lips|poor feeding|emergency visit
VID_AD_MALARIA_CONFIRMED_01,Malaria in children: diagnosis and treatment,"Explains what malaria is, test results, antimalarial medicines and how quickly fever should respond.",AD_MALARIA_CONFIRMED,Fever & common infections,False,malaria|malarial parasite|ACT|quinine|fever pattern|mosquito bite
VID_AD_MALARIA_CONFIRMED_02,Malaria: fever monitoring and when to seek urgent help,"Guides parents on keeping a fever chart, finishing medicines and red flags like confusion or breathing difficulty.",AD_MALARIA_CONFIRMED,Fever & common infections,False,malaria fever chart|finish medicines|recurrence|vomiting medicine|confusion|emergency signs
VID_AD_NEWBORN_JAUNDICE_PHOTO_01,Newborn jaundice: why phototherapy is needed,"Explains high bilirubin, what phototherapy does and why waiting at home with sunlight is risky.",AD_NEWBORN_JAUNDICE_PHOTO,Newborn & infant care,False,newborn jaundice|bilirubin high|phototherapy lights|sunlight vs phototherapy|brain damage risk
VID_AD_NEWBORN_JAUNDICE_PHOTO_02,During & after phototherapy: feeding and follow-up,"Shows eye cover use, importance of frequent feeding and repeat bilirubin tests after stopping lights.",AD_NEWBORN_JAUNDICE_PHOTO,Newborn & infant care,False,phototherapy care|eye patch|breastfeeding|repeat bilirubin|follow-up visit
VID_AD_NEWBORN_SEPSIS_01,Serious infection in newborn: why NICU and strong antibiotics,"Explains newborn sepsis, need for NICU monitoring and IV antibiotics and that parents did not cause this.",AD_NEWBORN_SEPSIS,Newborn & infant care,False,newborn sepsis|NICU|IV antibiotics|blood culture|monitoring|not parents fault
VID_AD_NEWBORN_SEPSIS_02,Caring for your baby in NICU: what to expect,"Describes tubes, monitors, kangaroo care when allowed and how parents can help.",AD_NEWBORN_SEPSIS,Newborn & infant care,False,NICU machines|monitors|IV lines|kangaroo care|parent involvement|recovery signs
VID_AD_SEIZURE_FEBRILE_SIMPLE_01,Febrile seizure: what it is and what it is not,"Explains simple febrile seizures, long-term outlook and difference from epilepsy.",AD_SEIZURE_FEBRILE_SIMPLE,Fever & common infections,False,febrile seizure|fits with fever|not epilepsy|normal development|recurrence risk
VID_AD_SEIZURE_FEBRILE_SIMPLE_02,Febrile seizure first aid & when to worry,"Demonstrates safe positioning, what not to put in the mouth and when to call ambulance or admit.",AD_SEIZURE_FEBRILE_SIMPLE,Fever & common infections,False,seizure first aid|recovery position|do not put finger in mouth|post seizure drowsiness|emergency signs
VID_AD_SKIN_BACTERIAL_INFECTION_01,"Boils & skin infections: cleaning, dressing and medicines","Shows handwashing, cleaning pus, applying prescribed cream and taking oral antibiotics correctly.",AD_SKIN_BACTERIAL_INFECTION,Skin & allergy,False,boils|skin infection|wound cleaning|antibiotic cream|oral antibiotic|hand hygiene
VID_AD_SKIN_BACTERIAL_INFECTION_02,When a boil or redness needs drainage or hospital care,"Explains spreading redness, high fever, very painful swelling and when doctor may need to drain the pus.",AD_SKIN_BACTERIAL_INFECTION,Skin & allergy,False,boil drainage|cellulitis|red hot skin|hospital admission|pus removal
VID_AD_TYPHOID_CONFIRMED_01,Typhoid fever: why treatment is long,"Explains typhoid diagnosis, how it spreads, why a long antibiotic course is needed and expected recovery timeline.",AD_TYPHOID_CONFIRMED,Fever & common infections,False,typhoid|enteric fever|long course antibiotic|unsafe water|street food|prolonged fever
VID_AD_TYPHOID_CONFIRMED_02,"Typhoid antibiotic course, diet and follow-up","Covers medication schedule, simple diet during typhoid and importance of follow-up and repeat tests when advised.",AD_TYPHOID_CONFIRMED,Fever & common infections,False,typhoid medicine|antibiotic schedule|soft diet|avoid oily food|follow-up test
VID_AD_UTI_ACUTE_01,Urine infection: what it is and why antibiotics are needed,"Explains UTI, how it is diagnosed and why a full antibiotic course is important.",AD_UTI_ACUTE,Fever & common infections,False,urine infection|UTI|burning urine|fever with no cold|antibiotic treatment
VID_AD_UTI_ACUTE_02,"UTI: antibiotic course, urine tests and prevention","Covers full course, urine culture, plenty of fluids and simple prevention steps.",AD_UTI_ACUTE,Fever & common infections,False,UTI antibiotic |urine culture|finish course|drink water|toilet hygiene|recurrence prevention
VID_AD_VOMITING_GASTROENTERITIS_01,Vomiting & gastroenteritis: giving fluids safely at home,"Shows small frequent sips, ORS preparation and when to try feeding again after vomiting.",AD_VOMITING_GASTROENTERITIS,Stomach & digestion,False,vomiting|gastroenteritis|ORS sipping|rehydration|small feeds|avoid force feeding
VID_AD_VOMITING_GASTROENTERITIS_02,Vomiting: dehydration signs and when IV drip is needed,"Explains dry mouth, reduced urine, lethargy and when IV fluids in hospital are necessary.",AD_VOMITING_GASTROENTERITIS,Stomach & digestion,False,vomiting dehydration|dry tongue|no urine|sunken eyes|IV drip|hospital visit
VID_CC_ADHD_01,ADHD: how medicines help and common concerns,"Explains what ADHD medicines do, common side effects, appetite/sleep issues and how long treatment may continue.",CC_ADHD_MED_SCHOOL,Child development & behaviour,False,ADHD medicine|stimulant|non stimulant|side effects|appetite loss|sleep issues|treatment duration
VID_CC_ADHD_02,ADHD: school plan and home behaviour strategies,"Covers classroom seating, breaks, homework structure and screen time rules that support the child.",CC_ADHD_MED_SCHOOL,Child development & behaviour,False,ADHD school plan|teacher strategies|homework routine|screen limits|positive reinforcement
VID_CC_ASTHMA_CTRL_01,Asthma: why daily controller inhaler is needed,"Explains that controller inhaler works in the background to keep lungs calm, why it is used even when there is no cough, and how it prevents attacks.",CC_ASTHMA_CONTROLLER,Breathing & chest problems,False,asthma controller|preventer inhaler|steroid inhaler|daily use|not habit forming|growth concerns
VID_CC_ASTHMA_CTRL_02,Asthma: fitting daily inhaler into school and play,"Shows how to plan morning and night doses around school, sports and exams and how to carry a reliever inhaler.",CC_ASTHMA_CONTROLLER,Breathing & chest problems,False,asthma school|sports with asthma|carrying inhaler|dose timing|exams and asthma
VID_CC_ASTHMA_PLAN_01,"Asthma action plan: green, yellow and red zones","Explains in simple terms what each zone means, which inhaler to use in each and when to shift from home care to emergency care.",CC_ASTHMA_ACTION_PLAN,Breathing & chest problems,False,asthma action plan|green zone|yellow zone|red zone|rescue inhaler|emergency signs
VID_CC_AUTISM_01,Autism: how therapies help your child,"Explains the role of speech therapy, occupational therapy and special education and realistic expectations.",CC_AUTISM_THERAPY,Child development & behaviour,False,autism therapy|speech therapy|occupational therapy|special school|realistic goals
VID_CC_AUTISM_02,Autism: building daily routine and handling meltdowns,"Shows how consistent routines, visual supports and calm responses help reduce meltdowns.",CC_AUTISM_THERAPY,Child development & behaviour,False,autism routine|visual schedule|meltdowns|sensory overload|calm response
VID_CC_CELIAC_01,Celiac disease: lifelong gluten-free diet basics,Explains which common foods contain wheat/gluten and what safe alternatives can be used.,CC_CELIAC_GFD,Stomach & digestion,False,celiac gluten free|atta|roti|bread|biscuits|rice and dal|safe foods|unsafe foods
VID_CC_CELIAC_02,Celiac disease: reading labels and avoiding hidden gluten,"Shows how to check packaged food labels and avoid hidden gluten in sauces, snacks and medicines.",CC_CELIAC_GFD,Stomach & digestion,False,hidden gluten|food labels|packaged snacks|sauces|medicines|may contain wheat
VID_CC_CHD_01,Child with heart disease: safe activity and sports,"Explains which activities are safe, what restrictions exist and how to encourage normal play within limits.",CC_CHD_STABLE,Chronic conditions,False,congenital heart disease activity|sports allowed|fatigue signs|school games|PE class
VID_CC_CHD_02,"Heart disease: follow-up visits, dental care and infection prevention","Covers importance of regular cardiology check-ups, dental hygiene and when antibiotic prophylaxis may be needed.",CC_CHD_STABLE,Chronic conditions,False,CHD follow-up|echo visits|dental care|endocarditis prophylaxis|antibiotic before dental
VID_CC_CKD_BP_01,Child with high BP / chronic kidney disease: BP and medicines,"Shows how to measure BP correctly when advised, the role of medicines and why long-term control protects the kidneys and heart.",CC_CKD_BP,Chronic conditions,False,child BP check|hypertension|BP machine|BP medicines|kidney protection|heart protection
VID_CC_CKD_BP_02,"Salt, fluids and lifestyle in child BP / kidney disease","Explains limiting extra salt, junk foods and appropriate fluid intake and activity as per doctor advice.",CC_CKD_BP,Chronic conditions,False,salt restriction|junk food|packet snacks|fluid limit|exercise advice|kidney disease lifestyle
VID_CC_ECZEMA_01,Eczema: daily moisturising and bath routine,"Shows how often to moisturise, which areas need extra care and simple bath tips to avoid drying the skin.",CC_ATOPIC_DERM_CHRONIC,Skin & allergy,False,eczema daily care|moisturiser routine|bath tips|soap choice|dry skin control
VID_CC_ECZEMA_02,Eczema flares: steroid cream and infection signs,"Explains when to start steroid cream, correct amount (finger-tip unit), duration and how to recognise infection needing doctor review.",CC_ATOPIC_DERM_CHRONIC,Skin & allergy,False,steroid cream use|finger tip unit|eczema flare|skin infection signs|pus|crusting
VID_CC_EPILEPSY_01,Childhood epilepsy: understanding the diagnosis,"Explains epilepsy in children, difference from febrile seizures, long-term outlook and why regular follow-up is needed.",CC_EPILEPSY_LONG_TERM,Chronic conditions,False,epilepsy explained|childhood epilepsy|not madness|difference from febrile seizure|prognosis
VID_CC_EPILEPSY_02,Epilepsy medicines: daily routine and missed doses,"Covers importance of daily dosing, what to do if a dose is missed, common side effects and why stopping suddenly is dangerous.",CC_EPILEPSY_LONG_TERM,Chronic conditions,False,antiepileptic medicines|AED|missed dose|side effects|abrupt stopping risk
VID_CC_GROWTH_01,Chronic illness: understanding your child's growth chart,"Explains in simple language how to read weight and height curves, and why regular plotting is important.",CC_CHRONIC_GROWTH_NUTRITION,"Feeding, nutrition & growth",False,growth chart|percentiles|underweight|stunting|tracking growth|chronic disease and growth
VID_CC_GROWTH_02,Chronic illness: high-energy diet and adding calories safely,Shows practical ways to add calories and protein to common Indian foods without forcing the child.,CC_CHRONIC_GROWTH_NUTRITION,"Feeding, nutrition & growth",False,high energy diet|calorie dense food|ghee and oil|extra snacks|protein foods|chronic illness nutrition
VID_CC_IBD_01,IBD: long-term medicines and colon health,Explains why regular medicines are needed even when symptoms are mild and why stopping on your own is harmful.,CC_IBD_CHRONIC,Stomach & digestion,False,IBD medicines|ulcerative colitis|Crohn|maintenance therapy|steroid sparing|colon protection
VID_CC_IBD_02,"IBD: nutrition, growth and school life","Covers nutrition goals, growth monitoring, attendance at school and when to inform teachers.",CC_IBD_CHRONIC,Stomach & digestion,False,IBD nutrition|growth|school attendance|toilet access|teacher awareness
VID_CC_JIA_01,Juvenile arthritis: medicines and monitoring,"Explains JIA diagnosis, the need for regular medicines, blood tests and eye checks as advised.",CC_JIA_ARTHRITIS,Chronic conditions,False,juvenile arthritis medicines|NSAIDs|DMARDs|biologics|blood tests|eye check uveitis
VID_CC_JIA_02,Juvenile arthritis: physiotherapy and staying active,"Shows simple joint-safe exercises, importance of movement and school/sports participation within limits.",CC_JIA_ARTHRITIS,Chronic conditions,False,JIA physiotherapy|joint exercises|stiffness|school sports|activity within limits
VID_CC_NEPHROTIC_01,Nephrotic syndrome: steroid course and side effects,"Explains swelling, role of steroid tablets, expected side effects like increased appetite and mood changes and why tapering must not be changed at home.",CC_NEPHROTIC_STEROIDS,Chronic conditions,False,nephrotic steroids|puffy face|weight gain|mood changes|tapering schedule|infection risk
VID_CC_NEPHROTIC_02,Nephrotic syndrome: checking urine and recognising relapse,"Demonstrates home urine dipstick use, daily weight chart and early signs of relapse.",CC_NEPHROTIC_STEROIDS,Chronic conditions,False,urine dipstick|protein in urine|daily weight|relapse signs|swelling around eyes
VID_CC_SICKLE_01,Sickle cell disease: daily care to prevent crises,"Covers hydration, avoiding extremes of cold or dehydration, folic acid and regular follow-up.",CC_SICKLE_DAILY,Chronic conditions,False,sickle daily care|pain crisis prevention|drink water|avoid extreme cold|folic acid|vaccines
VID_CC_SICKLE_02,Sickle cell crisis: danger signs and when to rush to hospital,"Explains severe pain, high fever, breathing difficulty and other signs that need urgent hospital treatment.",CC_SICKLE_DAILY,Chronic conditions,False,sickle crisis|severe pain|breathing trouble|fever in sickle|urgent admission
VID_CC_T1D_DAILY_01,Type 1 diabetes: daily insulin injections and sugar checks,"Shows insulin pen use, injection sites, blood sugar checking and keeping a simple log book.",CC_TYPE1_DIABETES_DAILY,Chronic conditions,False,type 1 diabetes daily|insulin pen|injection sites|glucometer use|sugar log book
VID_CC_T1D_DAILY_02,"Type 1 diabetes: food, school and routine","Explains meal planning, snacks, school lunch, sports and how teachers can support a child with diabetes.",CC_TYPE1_DIABETES_DAILY,Chronic conditions,False,diabetes food|carb counting basics|school lunch|sports and diabetes|teacher information
VID_CC_T1D_SICK_01,Type 1 diabetes: sick day rules,"Explains how often to check sugars, when to check ketones, adjusting insulin doses and when to go to hospital if the child is ill.",CC_TYPE1_DIABETES_SICK_DAY,Chronic conditions,False,diabetes sick day|ketones|vomiting|fever|extra sugar checks|hospital warning signs
VID_CC_T1D_SICK_02,Recognising and treating low sugar (hypoglycaemia),Shows early and severe symptoms of low sugar and how to give fast sugar and follow with snack safely.,CC_TYPE1_DIABETES_SICK_DAY,Chronic conditions,False,hypoglycaemia|low sugar signs|sweating shakiness|fast sugar|glucose|follow up snack
VID_CC_THAL_01,Thalassemia major: why regular transfusions are needed,"Explains what thalassemia is, why transfusions keep the child active and growing and why not to delay visits.",CC_THALASSEMIA_TRANSFUSION,Chronic conditions,False,thalassemia major explained|frequent transfusion|low haemoglobin|tiredness|transfusion schedule
VID_CC_THAL_02,Thalassemia: iron overload and chelation medicines,"Explains iron overload, chelation medicines, side effects and why taking them regularly protects organs.",CC_THALASSEMIA_TRANSFUSION,Chronic conditions,False,chelation|iron overload|ferritin|liver and heart protection|chelator side effects
VID_DRG_ABX_01,Antibiotic course: why you must complete it,"Explains how antibiotics fight bacteria, why stopping as soon as the child feels better is risky and how this leads to resistance.",DRG_ABX_SHORT_COURSE,Medicine use & antibiotics,False,antibiotic course|stop medicine early|antibiotic resistance|infection return|leftover medicine
VID_DRG_ABX_02,Antibiotic syrup and tablets: how to measure and give safely,"Shows how to measure syrups with a syringe/spoon, giving tablets safely, timing with food and what to do if a dose is missed.",DRG_ABX_SHORT_COURSE,Medicine use & antibiotics,False,antibiotic syrup|oral syringe|measuring spoon|tablet swallowing|dose timing|missed dose
VID_DRG_ANTIPYR_01,Paracetamol & ibuprofen: safe dose and gaps between doses,"Explains using weight-based dosing charts given by the doctor, not mixing multiple brands and keeping enough hours between doses.",DRG_ANTIPYRETIC_SAFE,Fever & common infections,False,paracetamol safe dose|ibuprofen safe dose|dose by weight|dosing interval|multiple brands same drug|overdose warning
VID_DRG_COUGH_01,Cough & cold syrups: when they are useful and when to avoid,"Explains why most combinations are not recommended in young children, age limits and when simple measures are better.",DRG_COUGH_ALLERGY_SYRUP,Breathing & chest problems,False,cough syrup risk|sedation|not for under 2 years|OTC cough medicine|simple cold measures
VID_DRG_COUGH_02,Allergy syrups (antihistamines): safe use in children,"Explains common allergy medicines like cetirizine, correct dosing, drowsiness and not mixing with other sedating syrups.",DRG_COUGH_ALLERGY_SYRUP,Breathing & chest problems,False,cetirizine|allergy syrup|dose by weight|drowsiness|mixing medicines|doctor advice
VID_DRG_INHALER_CARE_01,"Inhaler & spacer: cleaning, storage and mouth rinsing","Shows how often to clean the spacer, how to store the inhaler and why rinsing the mouth after steroid puffs reduces side effects.",DRG_INHALER_DEVICE,Breathing & chest problems,False,inhaler cleaning|spacer washing|air dry spacer|store inhaler|mouth rinse after inhaler|thrush prevention
VID_DRG_INSULIN_STORE_01,Insulin pens: storage and handling at home,"Explains which pens go in the fridge, which stay at room temperature in use, avoiding freezing and when to discard.",DRG_INSULIN_TECHNIQUE,Chronic conditions,False,insulin storage|fridge|room temperature pen|do not freeze|discard after 28 days|travel with insulin
VID_DRG_IRON_01,Iron drops & syrups: how and when to give,"Shows giving iron with a dropper or syringe, best time of day, spacing from milk and protecting teeth.",DRG_IRON_SUPPLEMENT,"Feeding, nutrition & growth",False,iron drops|teeth staining|give with juice|avoid milk|best time to give iron
VID_DRG_IRON_02,Iron medicine: common side effects and when to call,"Explains black stools and mild constipation as expected, and when severe pain or vomiting need review.",DRG_IRON_SUPPLEMENT,"Feeding, nutrition & growth",False,black stool|constipation with iron|tummy pain|vomiting iron|when to call doctor
VID_DRG_LAX_01,Laxatives for constipation: how they work and are not habit-forming,"Explains stool softeners, how they help the child pass stool without pain and why they are not addictive when used as advised.",DRG_LAXATIVE_CONSTIPATION,Stomach & digestion,False,laxative not habit forming|stool softener|PEG|lactulose|painful stool|fear of toilet
VID_DRG_LAX_02,Laxatives: how long to use and how to taper,"Discusses typical duration, combining with toilet training and diet changes, and gradual reduction rather than abrupt stopping.",DRG_LAXATIVE_CONSTIPATION,Stomach & digestion,False,laxative duration|taper slowly|toilet routine|fiber diet|water intake
VID_DRG_NEB_01,Home nebuliser: how to prepare medicine and use safely,"Shows how to set up the machine, measure neb solution as prescribed and keep the child calm during nebulisation.",DRG_NEBULISER_HOME,Breathing & chest problems,False,nebuliser set up|neb solution dose|mask fit|child calm|treatment duration
VID_DRG_NEB_02,Home nebuliser: cleaning parts and avoiding infection,"Explains washing and drying the mask/chamber, how often to change tubing and why sharing nebuliser sets between families is unsafe.",DRG_NEBULISER_HOME,Breathing & chest problems,False,cleaning nebuliser|wash mask and chamber|drying parts|change tubing|infection prevention
